,School Year,Grade Level,Count of Students
52.02,20092010,3,5
52.02,20092010,2,10
52.02,20092010,1,13
52.02,20092010,K,15
52.02,20082009,5,1
52.02,20082009,4,5
52.02,20082009,3,4
52.02,20012002,1,6
52.02,20082009,2,3
52.02,20082009,K,12
52.02,20072008,5,2
52.02,20072008,4,1
52.02,20072008,3,5
52.02,20072008,2,4
52.02,20072008,1,7
52.02,20072008,K,12
52.02,20062007,5,3
52.02,20062007,4,3
52.02,20062007,3,4
52.02,20062007,2,6
52.02,20062007,1,4
52.02,20082009,1,9
52.02,20102011,3,10
52.02,20012002,K,6
52.02,20102011,4,5
54.0,20052006,2,3
54.0,20052006,1,10
54.0,20052006,K,8
54.0,20042005,5,14
54.0,20042005,4,8
54.0,20042005,3,9
54.0,20042005,2,14
54.0,20042005,1,7
54.0,20042005,K,11
54.0,20032004,5,7
54.0,20032004,4,15
54.0,20032004,3,12
54.0,20032004,2,13
54.0,20032004,1,14
54.0,20032004,K,12
54.0,20022003,5,9
54.0,20022003,4,8
54.0,20022003,3,10
54.0,20022003,2,11
54.0,20022003,1,11
54.0,20022003,K,10
54.0,20012002,5,6
54.0,20012002,4,13
54.0,20012002,3,9
54.0,20012002,2,16
54.0,20052006,3,13
54.0,20052006,4,6
54.0,20102011,2,23
54.0,20052006,5,6
54.0,20102011,1,7
54.0,20102011,K,16
54.0,20092010,5,6
54.0,20092010,4,5
54.0,20092010,3,4
54.0,20092010,2,14
54.0,20092010,1,27
54.0,20092010,K,11
54.0,20082009,5,2
54.0,20082009,4,7
54.0,20082009,3,7
54.0,20082009,2,2
54.0,20102011,3,8
54.0,20082009,1,11
54.0,20072008,5,7
54.0,20072008,4,2
54.0,20072008,3,11
54.0,20072008,2,6
54.0,20072008,1,6
54.0,20072008,K,16
54.0,20062007,5,3
54.0,20062007,4,11
54.0,20062007,3,3
54.0,20062007,2,10
54.0,20062007,1,8
54.0,20062007,K,6
54.0,20082009,K,23
54.0,20102011,4,3
54.0,20102011,5,5
54.0,20012002,K,10
54.0,20012002,1,14
56.01,20062007,2,7
56.01,20062007,3,3
56.01,20062007,4,3
56.01,20062007,5,4
56.01,20072008,K,1
56.01,20072008,1,8
56.01,20072008,2,3
56.01,20072008,3,5
56.01,20072008,4,3
56.01,20072008,5,4
56.01,20082009,K,9
56.01,20082009,1,1
56.01,20082009,2,6
56.01,20082009,3,3
56.01,20082009,4,4
56.01,20082009,5,3
56.01,20092010,K,8
56.01,20092010,1,8
56.01,20092010,2,1
56.01,20092010,3,6
56.01,20092010,4,4
56.01,20092010,5,3
56.01,20102011,K,9
56.01,20102011,1,4
56.01,20102011,2,11
56.01,20102011,4,4
56.01,20062007,1,3
56.01,20062007,K,7
56.01,20012002,K,6
56.01,20052006,4,6
56.01,20052006,5,5
56.01,20012002,1,11
56.01,20012002,2,8
56.01,20012002,3,7
56.01,20012002,4,3
56.01,20012002,5,6
56.01,20022003,K,8
56.01,20022003,1,8
56.01,20022003,2,9
56.01,20022003,3,6
56.01,20022003,4,6
56.01,20022003,5,4
56.01,20032004,K,3
56.01,20032004,1,5
56.01,20102011,5,4
56.01,20032004,3,7
56.01,20032004,2,6
56.01,20052006,3,4
56.01,20052006,2,3
56.01,20052006,1,8
56.01,20052006,K,7
56.01,20042005,4,6
56.01,20042005,5,6
56.01,20042005,2,4
56.01,20042005,1,2
56.01,20042005,K,7
56.01,20032004,5,4
56.01,20032004,4,7
56.01,20042005,3,6
56.02,20082009,K,4
56.02,20082009,2,4
56.02,20082009,1,5
56.02,20072008,5,3
56.02,20062007,5,1
56.02,20072008,3,1
56.02,20072008,2,4
56.02,20072008,1,4
56.02,20072008,K,4
56.02,20072008,4,3
56.02,20082009,3,3
56.02,20092010,3,5
56.02,20082009,5,3
56.02,20092010,K,3
56.02,20092010,1,8
56.02,20092010,2,2
56.02,20062007,4,3
56.02,20092010,4,3
56.02,20092010,5,2
56.02,20102011,K,6
56.02,20102011,1,3
56.02,20102011,2,8
56.02,20102011,3,2
56.02,20102011,4,2
56.02,20102011,5,3
56.02,20082009,4,1
56.02,20062007,3,3
56.02,20052006,2,3
56.02,20062007,1,5
56.02,20012002,K,1
56.02,20012002,1,6
56.02,20012002,2,6
56.02,20012002,3,3
56.02,20012002,4,2
56.02,20012002,5,2
56.02,20022003,K,4
56.02,20022003,1,2
56.02,20022003,2,5
56.02,20022003,3,4
56.02,20022003,4,2
56.02,20022003,5,1
56.02,20062007,2,1
56.02,20032004,K,3
56.02,20032004,2,3
56.02,20032004,4,3
56.02,20042005,1,3
56.02,20042005,2,4
56.02,20042005,3,2
56.02,20042005,4,4
56.02,20042005,5,3
56.02,20052006,K,5
56.02,20052006,3,3
56.02,20052006,4,1
56.02,20052006,5,3
56.02,20062007,K,4
56.02,20032004,1,4
56.02,20032004,3,6
58.0,20012002,K,16
58.0,20102011,3,17
58.0,20062007,3,8
58.0,20062007,4,14
58.0,20062007,5,5
58.0,20072008,K,20
58.0,20072008,1,9
58.0,20072008,2,4
58.0,20072008,3,9
58.0,20072008,4,7
58.0,20072008,5,11
58.0,20082009,K,24
58.0,20082009,1,15
58.0,20082009,2,10
58.0,20062007,2,9
58.0,20082009,3,5
58.0,20082009,5,6
58.0,20092010,K,23
58.0,20092010,1,27
58.0,20092010,2,19
58.0,20092010,3,8
58.0,20092010,4,11
58.0,20092010,5,13
58.0,20102011,K,33
58.0,20102011,1,22
58.0,20102011,5,9
58.0,20102011,2,22
58.0,20102011,4,8
58.0,20082009,4,6
58.0,20062007,1,7
58.0,20012002,1,15
58.0,20052006,5,7
58.0,20012002,3,15
58.0,20062007,K,9
58.0,20012002,2,12
58.0,20012002,4,8
58.0,20012002,5,7
58.0,20022003,K,16
58.0,20022003,1,19
58.0,20022003,2,13
58.0,20022003,3,15
58.0,20022003,5,9
58.0,20032004,K,10
58.0,20032004,1,17
58.0,20032004,2,15
58.0,20022003,4,14
58.0,20032004,4,13
58.0,20052006,3,11
58.0,20032004,3,11
58.0,20052006,2,11
58.0,20052006,1,11
58.0,20052006,K,9
58.0,20042005,4,8
58.0,20042005,5,9
58.0,20042005,2,16
58.0,20052006,4,10
58.0,20042005,1,14
58.0,20042005,K,9
58.0,20032004,5,15
58.0,20042005,3,10
60.0,20072008,3,10
60.0,20072008,4,13
60.0,20072008,2,13
60.0,20062007,2,11
60.0,20072008,K,24
60.0,20062007,5,10
60.0,20062007,4,19
60.0,20062007,3,18
60.0,20072008,5,20
60.0,20072008,1,23
60.0,20082009,K,27
60.0,20102011,1,32
60.0,20082009,2,28
60.0,20082009,3,14
60.0,20082009,4,7
60.0,20082009,5,11
60.0,20092010,K,24
60.0,20092010,1,32
60.0,20092010,2,32
60.0,20092010,3,32
60.0,20092010,4,24
60.0,20092010,5,24
60.0,20102011,K,35
60.0,20062007,1,14
60.0,20102011,2,35
60.0,20082009,1,25
60.0,20062007,K,24
60.0,20032004,4,15
60.0,20052006,4,10
60.0,20012002,K,21
60.0,20012002,1,24
60.0,20102011,3,33
60.0,20012002,3,19
60.0,20012002,4,14
60.0,20012002,5,19
60.0,20022003,K,23
60.0,20022003,1,17
60.0,20022003,2,21
60.0,20022003,3,21
60.0,20022003,4,13
60.0,20022003,5,13
60.0,20032004,K,19
60.0,20032004,1,22
60.0,20032004,2,16
60.0,20032004,3,26
60.0,20032004,5,14
60.0,20042005,K,15
60.0,20042005,1,18
60.0,20042005,2,21
60.0,20042005,3,11
60.0,20042005,4,27
60.0,20042005,5,18
60.0,20052006,K,15
60.0,20052006,1,11
60.0,20052006,2,18
60.0,20052006,3,22
60.0,20052006,5,24
60.0,20012002,2,23
60.0,20102011,4,30
60.0,20102011,5,26
62.0,20062007,3,17
62.0,20062007,4,11
62.0,20062007,5,20
62.0,20072008,K,30
62.0,20072008,1,27
62.0,20072008,2,17
62.0,20072008,3,9
62.0,20072008,4,15
62.0,20072008,5,11
62.0,20082009,K,35
62.0,20082009,1,32
62.0,20082009,2,30
62.0,20082009,3,18
62.0,20012002,K,26
62.0,20082009,5,14
62.0,20092010,K,33
62.0,20092010,1,34
62.0,20092010,2,34
62.0,20092010,3,35
62.0,20092010,4,29
62.0,20092010,5,30
62.0,20102011,K,27
62.0,20102011,1,32
62.0,20102011,2,35
62.0,20102011,3,35
62.0,20102011,4,32
62.0,20102011,5,31
62.0,20062007,2,11
62.0,20082009,4,12
62.0,20062007,1,19
62.0,20052006,5,26
62.0,20012002,1,33
62.0,20012002,2,28
62.0,20012002,3,34
62.0,20012002,4,22
62.0,20012002,5,16
62.0,20022003,K,16
62.0,20022003,1,22
62.0,20022003,2,35
62.0,20022003,3,30
62.0,20022003,4,30
62.0,20022003,5,19
62.0,20032004,K,21
62.0,20032004,1,20
62.0,20032004,2,19
62.0,20032004,3,25
62.0,20032004,4,27
62.0,20032004,5,31
62.0,20042005,K,14
62.0,20042005,1,24
62.0,20042005,2,20
62.0,20042005,3,24
62.0,20042005,4,28
62.0,20042005,5,28
62.0,20052006,K,14
62.0,20052006,1,14
62.0,20052006,3,14
62.0,20052006,4,19
62.0,20062007,K,26
62.0,20052006,2,17
64.0,20102011,3,22
64.0,20012002,K,22
64.0,20062007,K,36
64.0,20062007,1,19
64.0,20062007,2,21
64.0,20062007,3,19
64.0,20062007,4,18
64.0,20062007,5,21
64.0,20072008,K,20
64.0,20072008,1,28
64.0,20072008,2,21
64.0,20072008,3,15
64.0,20072008,4,15
64.0,20052006,5,32
64.0,20072008,5,16
64.0,20082009,1,18
64.0,20082009,2,29
64.0,20082009,3,23
64.0,20082009,4,16
64.0,20082009,5,16
64.0,20092010,K,34
64.0,20092010,1,37
64.0,20092010,2,22
64.0,20092010,3,32
64.0,20092010,4,35
64.0,20092010,5,34
64.0,20082009,K,34
64.0,20052006,4,21
64.0,20052006,3,18
64.0,20052006,2,17
64.0,20012002,1,27
64.0,20012002,2,29
64.0,20012002,3,23
64.0,20012002,4,21
64.0,20012002,5,24
64.0,20022003,K,19
64.0,20022003,1,22
64.0,20022003,2,28
64.0,20022003,3,31
64.0,20022003,4,27
64.0,20022003,5,20
64.0,20032004,K,16
64.0,20032004,1,17
64.0,20032004,2,17
64.0,20032004,3,26
64.0,20032004,4,30
64.0,20032004,5,28
64.0,20042005,K,23
64.0,20042005,1,16
64.0,20042005,2,19
64.0,20042005,3,18
64.0,20042005,4,31
64.0,20042005,5,33
64.0,20052006,K,24
64.0,20052006,1,28
64.0,20102011,2,32
64.0,20102011,K,34
64.0,20102011,1,37
64.0,20102011,4,34
64.0,20102011,5,36
66.0,20082009,3,30
66.0,20042005,5,29
66.0,20052006,K,28
66.0,20052006,1,27
66.0,20052006,2,27
66.0,20052006,3,24
66.0,20052006,4,36
66.0,20052006,5,33
66.0,20062007,K,32
66.0,20062007,1,32
66.0,20062007,3,26
66.0,20062007,4,27
66.0,20062007,5,35
66.0,20072008,K,30
66.0,20072008,1,36
66.0,20072008,2,32
66.0,20072008,3,25
66.0,20072008,4,26
66.0,20072008,5,29
66.0,20042005,4,36
66.0,20042005,3,34
66.0,20042005,1,28
66.0,20082009,K,24
66.0,20012002,K,32
66.0,20012002,1,26
66.0,20012002,2,34
66.0,20012002,3,25
66.0,20012002,4,18
66.0,20012002,5,26
66.0,20022003,K,21
66.0,20022003,1,36
66.0,20022003,2,31
66.0,20022003,3,33
66.0,20022003,4,22
66.0,20022003,5,16
66.0,20032004,K,32
66.0,20032004,1,25
66.0,20032004,2,34
66.0,20032004,3,34
66.0,20032004,4,31
66.0,20032004,5,25
66.0,20042005,K,29
66.0,20042005,2,21
66.0,20082009,1,32
66.0,20062007,2,26
66.0,20102011,3,35
66.0,20102011,5,33
66.0,20102011,4,24
66.0,20102011,2,29
66.0,20102011,1,32
66.0,20092010,5,23
66.0,20092010,4,29
66.0,20102011,K,37
66.0,20092010,2,34
66.0,20092010,1,26
66.0,20092010,K,30
66.0,20082009,5,26
66.0,20082009,4,18
66.0,20092010,3,27
66.0,20082009,2,31
68.0,20062007,5,60
68.0,20072008,3,71
68.0,20072008,2,69
68.0,20072008,1,48
68.0,20072008,K,55
68.0,20062007,1,67
68.0,20062007,3,53
68.0,20052006,4,52
68.0,20072008,4,51
68.0,20052006,3,69
68.0,20062007,4,63
68.0,20072008,5,58
68.0,20092010,K,64
68.0,20082009,1,62
